NSNT_Delta_Pre,NSNT_Delta_Tele,NSNT_Delta_Post,NSNT_Theta_Pre,NSNT_Theta_Tele,NSNT_Theta_Post,NSNT_Alpha_Pre,NSNT_Alpha_Tele,NSNT_Alpha_Post,NSNT_Beta_Pre,NSNT_Beta_Tele,NSNT_Beta_Post,NSNT_Gamma_Pre,NSNT_Gamma_Tele,NSNT_Gamma_Post,NSFT_Delta_Pre,NSFT_Delta_Tele,NSFT_Delta_Post,NSFT_Theta_Pre,NSFT_Theta_Tele,NSFT_Theta_Post,NSFT_Alpha_Pre,NSFT_Alpha_Tele,NSFT_Alpha_Post,NSFT_Beta_Pre,NSFT_Beta_Tele,NSFT_Beta_Post,NSFT_Gamma_Pre,NSFT_Gamma_Tele,NSFT_Gamma_Post,FSNT_Delta_Pre,FSNT_Delta_Tele,FSNT_Delta_Post,FSNT_Theta_Pre,FSNT_Theta_Tele,FSNT_Theta_Post,FSNT_Alpha_Pre,FSNT_Alpha_Tele,FSNT_Alpha_Post,FSNT_Beta_Pre,FSNT_Beta_Tele,FSNT_Beta_Post,FSNT_Gamma_Pre,FSNT_Gamma_Tele,FSNT_Gamma_Post,FSFT_Delta_Pre,FSFT_Delta_Tele,FSFT_Delta_Post,FSFT_Theta_Pre,FSFT_Theta_Tele,FSFT_Theta_Post,FSFT_Alpha_Pre,FSFT_Alpha_Tele,FSFT_Alpha_Post,FSFT_Beta_Pre,FSFT_Beta_Tele,FSFT_Beta_Post,FSFT_Gamma_Pre,FSFT_Gamma_Tele,FSFT_Gamma_Post
0.068824,0.074947,0.059438,0.34504,0.27623,0.30588,0.38902,0.36129,0.4141,0.43987,0.42952,0.43056,0.37169,0.35822,0.36779,0.070269,0.082489,0.076089,0.32373,0.30603,0.27838,0.37728,0.37295,0.44873,0.47266,0.441,0.45075,0.37422,0.35815,0.3515,0.074327,0.074964,0.11481,0.24867,0.29584,0.44839,0.30859,0.37337,0.40802,0.44872,0.47164,0.51104,0.36733,0.36109,0.3624,0.046283,0.062776,0.051592,0.36461,0.3645,0.34687,0.29705,0.37855,0.38472,0.44524,0.35748,0.4364,0.35084,0.33403,0.34391
0.03325,0.027939,0.012806,0.14713,0.080493,0.064964,0.20612,0.16359,0.025999,0.16025,0.18666,0.16153,0.14838,0.13361,0.14227,0.062304,0.062615,0.0049528,0.19093,0.15197,0.043325,0.26588,0.20693,0.1983,0.23668,0.23991,0.20224,0.093072,0.12688,0.13733,0.0031648,0.012118,0.013934,0.15849,0.11772,0.098296,0.13957,0.17602,0.22546,0.15957,0.18024,0.13663,0.11167,0.12152,0.14235,0.029428,0.044078,0.022907,0.18843,0.21427,0.1243,0.2358,0.27086,0.18582,0.1969,0.25433,0.0963,0.10326,0.14219,0.11007
0.045193,0.017885,0.017209,0.15283,0.055767,0.14036,0.26643,0.13775,0.056472,0.15013,0.17832,0.13887,0.13744,0.13734,0.13171,0.081977,0.078977,0.020282,0.18349,0.1651,0.065612,0.23604,0.19876,0.18673,0.18445,0.19539,0.11759,0.11065,0.12188,0.11947,0.012623,0.019695,0.0069399,0.1781,0.15647,0.051981,0.17944,0.13893,0.2036,0.13434,0.14254,0.12511,0.12083,0.12521,0.142,0.022385,0.035778,0.022577,0.22601,0.24485,0.16384,0.20534,0.23324,0.22011,0.19249,0.24398,0.08218,0.09067,0.12206,0.13729
0.042163,0.011598,0.018405,0.23654,0.17483,0.19241,0.29897,0.24652,0.20223,0.11738,0.152,0.092508,0.066787,0.06696,0.052355,0.0794,0.074586,0.02817,0.26006,0.2798,0.19651,0.25742,0.21273,0.17221,0.13606,0.13452,0.081561,0.056446,0.068276,0.072852,0.037055,0.027247,0.013391,0.34106,0.34182,0.16418,0.20182,0.20203,0.24772,0.11719,0.10961,0.11412,0.071585,0.075402,0.075135,0.029997,0.047401,0.053836,0.38932,0.32104,0.3111,0.24927,0.27524,0.16512,0.14607,0.21078,0.078806,0.058683,0.074263,0.079146
0.020322,0.022933,0.028298,0.12373,0.10835,0.10716,0.28202,0.084809,0.072617,0.26321,0.25914,0.19976,0.11835,0.13205,0.1381,0.043053,0.035097,0.0095552,0.18745,0.15324,0.16058,0.11696,0.1277,0.077191,0.24402,0.27802,0.27341,0.12545,0.11842,0.11949,0.050492,0.0033635,0.022269,0.10506,0.16444,0.01855,0.074463,0.094613,0.017694,0.22321,0.27126,0.2743,0.13904,0.11946,0.12711,0.04824,0.077557,0.027476,0.17347,0.21794,0.14156,0.14176,0.26605,0.17986,0.29495,0.3321,0.19039,0.11864,0.11593,0.12137
0.0164,0.01766,0.031591,0.14314,0.086801,0.10751,0.29674,0.16392,0.086944,0.20668,0.21706,0.23896,0.14867,0.13869,0.13871,0.088536,0.049924,0.011766,0.2105,0.14304,0.09021,0.19774,0.16759,0.11997,0.22126,0.23971,0.17819,0.13052,0.13668,0.13487,0.0076859,0.0083129,0.0036965,0.071126,0.11494,0.030129,0.11019,0.16048,0.12353,0.20892,0.26862,0.15003,0.11972,0.12732,0.14919,0.041686,0.057023,0.037765,0.17049,0.21166,0.098129,0.076882,0.24374,0.12839,0.28713,0.30674,0.19439,0.14877,0.14117,0.12521
0.011331,0.0025213,0.014273,0.30713,0.1895,0.12334,0.37591,0.37623,0.26531,0.23474,0.2417,0.11637,0.10483,0.13888,0.11489,0.053129,0.042707,0.0073325,0.27728,0.19117,0.067705,0.27359,0.27878,0.28354,0.23546,0.21693,0.1619,0.095143,0.10689,0.10294,0.00094039,0.012859,0,0.17875,0.17152,0.09536,0.30615,0.32424,0.2235,0.20664,0.22602,0.20965,0.090746,0.10822,0.12769,0.019452,0.045584,0.026432,0.27418,0.27826,0.1297,0.28371,0.38344,0.30773,0.26024,0.2755,0.13413,0.075564,0.10162,0.10342
0.050874,0.047109,0.020253,0.35376,0.24468,0.18808,0.30615,0.26036,0.11406,0.21521,0.23775,0.13517,0.14627,0.12812,0.14925,0.10785,0.11071,0.040129,0.39985,0.30224,0.2204,0.34661,0.28848,0.33181,0.25469,0.27354,0.15105,0.14854,0.13686,0.1342,0.035355,0.02554,0.03017,0.21069,0.27737,0.20507,0.33789,0.24194,0.22847,0.22262,0.20711,0.17342,0.10661,0.12795,0.135,0.084813,0.088519,0.032487,0.30327,0.31914,0.30925,0.40366,0.22942,0.24026,0.21296,0.22138,0.15303,0.11953,0.12568,0.12457
0.037652,0.041623,0.040801,0.46976,0.27476,0.15685,0.12113,0.2227,0.096799,0.19754,0.20674,0.14124,0.14224,0.13038,0.12758,0.10296,0.098625,0.029125,0.38306,0.24474,0.2297,0.2677,0.22614,0.19325,0.2316,0.26262,0.13794,0.13778,0.13669,0.15006,0.054055,0.039544,0.036077,0.15955,0.23899,0.19366,0.23503,0.2092,0.10967,0.17607,0.18192,0.19044,0.12596,0.12262,0.15131,0.076251,0.07707,0.027041,0.23961,0.32931,0.26216,0.25312,0.22248,0.16963,0.17071,0.21132,0.1574,0.11321,0.12944,0.1396
0.0235,0.029976,0.0082161,0.12561,0.13509,0.054795,0.20358,0.19791,0.10022,0.13591,0.18327,0.10816,0.16174,0.13592,0.15879,0.092415,0.082259,0.040262,0.24898,0.18527,0.079528,0.26756,0.23686,0.10421,0.169,0.18054,0.13525,0.11976,0.13867,0.12983,0.010634,0.0079676,0.0092593,0.11251,0.067838,0.023157,0.21102,0.1471,0.11954,0.14069,0.12055,0.15108,0.095733,0.126,0.1302,0.070931,0.04836,0.020024,0.17793,0.15982,0.073964,0.35591,0.20323,0.091131,0.12735,0.15322,0.11031,0.11508,0.12245,0.11988
0.042736,0.033292,0.017877,0.23216,0.19876,0.13187,0.16033,0.19288,0.076181,0.24916,0.25671,0.1513,0.15119,0.11234,0.12976,0.11433,0.095338,0.040431,0.32163,0.23625,0.13261,0.21018,0.25959,0.15068,0.20903,0.26565,0.16149,0.12343,0.12851,0.11222,0.029152,0.015699,0.067551,0.16634,0.11825,0.16002,0.17277,0.15225,0.12239,0.16045,0.15452,0.20509,0.11503,0.11021,0.12793,0.066919,0.066352,0.020499,0.19654,0.26099,0.13897,0.25212,0.23662,0.15925,0.14686,0.18451,0.19075,0.082403,0.10132,0.12589
0.045867,0.032371,0.014429,0.10552,0.11163,0.12465,0.15329,0.15026,0.13108,0.13098,0.19053,0.073274,0.16732,0.13011,0.15594,0.083855,0.073857,0.054493,0.2439,0.21569,0.11557,0.14526,0.19523,0.07257,0.20229,0.18897,0.14001,0.13633,0.14666,0.13285,0.02011,0.032855,0.052185,0.087321,0.089117,0.10258,0.18213,0.12863,0.12565,0.15563,0.18596,0.17459,0.11899,0.13236,0.13768,0.052172,0.061043,0.023157,0.27234,0.21641,0.11589,0.17433,0.18162,0.10517,0.15636,0.19576,0.13243,0.13607,0.13124,0.11993
