4,FSNT,Gamma,Pre,0.12994
4,FSNT,Gamma,Tele,0.15047
4,FSNT,Gamma,Post,0.12757
4,FSFT,Delta,Pre,0.034957
4,FSFT,Delta,Tele,0.034588
4,FSFT,Delta,Post,0.01388
4,FSFT,Theta,Pre,0.11332
4,FSFT,Theta,Tele,0.075089
4,FSFT,Theta,Post,0.055325
4,FSFT,Alpha,Pre,0.093994
4,FSFT,Alpha,Tele,0.16249
4,FSFT,Alpha,Post,0.13054
4,FSFT,Beta,Pre,0.20417
4,FSFT,Beta,Tele,0.27821
4,FSFT,Beta,Post,0.19674
4,FSFT,Gamma,Pre,0.12123
4,FSFT,Gamma,Tele,0.13141
4,FSFT,Gamma,Post,0.14456
5,NSNT,Delta,Pre,0.040378
5,NSNT,Delta,Tele,0.052433
5,NSNT,Delta,Post,0.10612
5,NSNT,Theta,Pre,0.17615
5,NSNT,Theta,Tele,0.19649
5,NSNT,Theta,Post,0.20389
5,NSNT,Alpha,Pre,0.14917
5,NSNT,Alpha,Tele,0.22162
5,NSNT,Alpha,Post,0.19777
5,NSNT,Beta,Pre,0.19297
5,NSNT,Beta,Tele,0.23136
5,NSNT,Beta,Post,0.25453
5,NSNT,Gamma,Pre,0.27364
5,NSNT,Gamma,Tele,0.2815
5,NSNT,Gamma,Post,0.30658
5,NSFT,Delta,Pre,0.083912
5,NSFT,Delta,Tele,0.05138
5,NSFT,Delta,Post,0.021599
5,NSFT,Theta,Pre,0.26766
5,NSFT,Theta,Tele,0.2244
5,NSFT,Theta,Post,0.26472
5,NSFT,Alpha,Pre,0.21379
5,NSFT,Alpha,Tele,0.15694
5,NSFT,Alpha,Post,0.19749
5,NSFT,Beta,Pre,0.28063
5,NSFT,Beta,Tele,0.23015
5,NSFT,Beta,Post,0.18496
5,NSFT,Gamma,Pre,0.31305
5,NSFT,Gamma,Tele,0.28829
5,NSFT,Gamma,Post,0.27274
5,FSNT,Delta,Pre,0.031366
5,FSNT,Delta,Tele,0.047437
5,FSNT,Delta,Post,0.073059
5,FSNT,Theta,Pre,0.14687
5,FSNT,Theta,Tele,0.17414
5,FSNT,Theta,Post,0.14618
5,FSNT,Alpha,Pre,0.20892
5,FSNT,Alpha,Tele,0.17498
5,FSNT,Alpha,Post,0.20724
5,FSNT,Beta,Pre,0.23227
5,FSNT,Beta,Tele,0.25447
5,FSNT,Beta,Post,0.25399
5,FSNT,Gamma,Pre,0.29639
5,FSNT,Gamma,Tele,0.27848
5,FSNT,Gamma,Post,0.30194
5,FSFT,Delta,Pre,0.073459
5,FSFT,Delta,Tele,0.051239
5,FSFT,Delta,Post,0.0070486
5,FSFT,Theta,Pre,0.25704
5,FSFT,Theta,Tele,0.21161
5,FSFT,Theta,Post,0.15236
5,FSFT,Alpha,Pre,0.1285
5,FSFT,Alpha,Tele,0.24281
5,FSFT,Alpha,Post,0.16202
5,FSFT,Beta,Pre,0.19202
5,FSFT,Beta,Tele,0.28116
5,FSFT,Beta,Post,0.25466
5,FSFT,Gamma,Pre,0.29943
5,FSFT,Gamma,Tele,0.2797
5,FSFT,Gamma,Post,0.28269
6,NSNT,Delta,Pre,0.013656
6,NSNT,Delta,Tele,0.043174
6,NSNT,Delta,Post,0.046063
6,NSNT,Theta,Pre,0.14907
6,NSNT,Theta,Tele,0.25578
6,NSNT,Theta,Post,0.24125
6,NSNT,Alpha,Pre,0.19245
6,NSNT,Alpha,Tele,0.19823
6,NSNT,Alpha,Post,0.20378
6,NSNT,Beta,Pre,0.17254
