Electrode,TrialType,FreqBand,TimePoint,Power
10,NSNT,gammaBand,Pre,0.0050268
11,NSNT,deltaBand,Pre,3884643.4777
11,NSNT,thetaBand,Pre,3651.004
11,NSNT,alphaBand,Pre,83.5512
11,NSNT,betaBand,Pre,4.3305
11,NSNT,gammaBand,Pre,0.0070408
12,NSNT,deltaBand,Pre,2118878.5876
12,NSNT,thetaBand,Pre,2057.9273
12,NSNT,alphaBand,Pre,52.9967
12,NSNT,betaBand,Pre,3.059
12,NSNT,gammaBand,Pre,0.0047579
13,NSNT,deltaBand,Pre,1646892.9274
13,NSNT,thetaBand,Pre,2114.7958
13,NSNT,alphaBand,Pre,35.7228
13,NSNT,betaBand,Pre,1.6274
13,NSNT,gammaBand,Pre,0.0015845
14,NSNT,deltaBand,Pre,4856077.0443
14,NSNT,thetaBand,Pre,4012.7258
14,NSNT,alphaBand,Pre,70.9412
14,NSNT,betaBand,Pre,4.0645
14,NSNT,gammaBand,Pre,0.0081705
15,NSNT,deltaBand,Pre,3379979.8947
15,NSNT,thetaBand,Pre,3671.4875
15,NSNT,alphaBand,Pre,69.799
15,NSNT,betaBand,Pre,4.1855
15,NSNT,gammaBand,Pre,0.010134
16,NSNT,deltaBand,Pre,1883456.5436
16,NSNT,thetaBand,Pre,3734.5447
16,NSNT,alphaBand,Pre,86.6196
16,NSNT,betaBand,Pre,4.3819
16,NSNT,gammaBand,Pre,0.0048753
6,NSNT,deltaBand,Tele,7347547.3369
6,NSNT,thetaBand,Tele,17003.1899
6,NSNT,alphaBand,Tele,267.0202
6,NSNT,betaBand,Tele,10.0856
6,NSNT,gammaBand,Tele,0.015785
7,NSNT,deltaBand,Tele,4799012.7469
7,NSNT,thetaBand,Tele,7857.3162
7,NSNT,alphaBand,Tele,139.9602
7,NSNT,betaBand,Tele,5.5044
7,NSNT,gammaBand,Tele,0.011343
8,NSNT,deltaBand,Tele,8705011.9229
8,NSNT,thetaBand,Tele,11096.357
8,NSNT,alphaBand,Tele,203.8286
8,NSNT,betaBand,Tele,7.3201
8,NSNT,gammaBand,Tele,0.0095973
9,NSNT,deltaBand,Tele,8960942.7279
9,NSNT,thetaBand,Tele,13433.4209
9,NSNT,alphaBand,Tele,188.1805
9,NSNT,betaBand,Tele,8.2932
9,NSNT,gammaBand,Tele,0.011846
10,NSNT,deltaBand,Tele,2508086.594
10,NSNT,thetaBand,Tele,5881.7026
10,NSNT,alphaBand,Tele,77.8033
10,NSNT,betaBand,Tele,3.5537
10,NSNT,gammaBand,Tele,0.0050569
11,NSNT,deltaBand,Tele,4105627.314
11,NSNT,thetaBand,Tele,4601.6636
11,NSNT,alphaBand,Tele,157.7061
11,NSNT,betaBand,Tele,10.9596
11,NSNT,gammaBand,Tele,0.0091693
12,NSNT,deltaBand,Tele,2126048.5039
12,NSNT,thetaBand,Tele,2871.635
12,NSNT,alphaBand,Tele,59.9551
12,NSNT,betaBand,Tele,4.3934
12,NSNT,gammaBand,Tele,0.0053027
13,NSNT,deltaBand,Tele,1584682.5462
13,NSNT,thetaBand,Tele,2723.2175
13,NSNT,alphaBand,Tele,38.3397
13,NSNT,betaBand,Tele,1.8029
13,NSNT,gammaBand,Tele,0.0016852
14,NSNT,deltaBand,Tele,3778951.4539
14,NSNT,thetaBand,Tele,8222.5541
14,NSNT,alphaBand,Tele,99.5589
14,NSNT,betaBand,Tele,5.0534
14,NSNT,gammaBand,Tele,0.0080397
15,NSNT,deltaBand,Tele,3142333.2629
15,NSNT,thetaBand,Tele,6886.9099
15,NSNT,alphaBand,Tele,91.3756
15,NSNT,betaBand,Tele,4.8265
15,NSNT,gammaBand,Tele,0.0097497
16,NSNT,deltaBand,Tele,2287327.8039
16,NSNT,thetaBand,Tele,4878.0462
16,NSNT,alphaBand,Tele,105.8951
16,NSNT,betaBand,Tele,5.1233
16,NSNT,gammaBand,Tele,0.0049239
6,NSNT,deltaBand,Post,19076808.0753
6,NSNT,thetaBand,Post,36118.8098
6,NSNT,alphaBand,Post,496.9168
6,NSNT,betaBand,Post,21.8461
6,NSNT,gammaBand,Post,0.046413
7,NSNT,deltaBand,Post,6786037.1768
7,NSNT,thetaBand,Post,12716.8944
7,NSNT,alphaBand,Post,233.408
7,NSNT,betaBand,Post,13.2171
7,NSNT,gammaBand,Post,0.02586
8,NSNT,deltaBand,Post,14912959.2562
8,NSNT,thetaBand,Post,13688.7861
8,NSNT,alphaBand,Post,503.4191
8,NSNT,betaBand,Post,28.9182
8,NSNT,gammaBand,Post,0.04371
9,NSNT,deltaBand,Post,16945200.0993
9,NSNT,thetaBand,Post,23369.9873
9,NSNT,alphaBand,Post,633.7973
9,NSNT,betaBand,Post,28.8276
9,NSNT,gammaBand,Post,0.057466
10,NSNT,deltaBand,Post,5624162.4768
10,NSNT,thetaBand,Post,5418.8173
10,NSNT,alphaBand,Post,91.8657
10,NSNT,betaBand,Post,6.2136
10,NSNT,gammaBand,Post,0.009073
11,NSNT,deltaBand,Post,4957619.4053
11,NSNT,thetaBand,Post,4451.2118
11,NSNT,alphaBand,Post,107.7816
11,NSNT,betaBand,Post,4.2587
11,NSNT,gammaBand,Post,0.0060965
12,NSNT,deltaBand,Post,3361561.0887
12,NSNT,thetaBand,Post,2970.4843
12,NSNT,alphaBand,Post,62.583
12,NSNT,betaBand,Post,2.782
12,NSNT,gammaBand,Post,0.0043087
13,NSNT,deltaBand,Post,2662259.9906
13,NSNT,thetaBand,Post,2665.9431
13,NSNT,alphaBand,Post,39.1751
13,NSNT,betaBand,Post,1.6759
13,NSNT,gammaBand,Post,0.0016291
14,NSNT,deltaBand,Post,5711115.9193
